,food_id,rest_id,food_name,food_price
367,551,279,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
368,551,279,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
369,551,279,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
370,551,279,Hoành thánh chiên giòn với giấm chua ngọt,95040.0
371,1530,279,Tai heo sốt trứ danh San Fu Lou,95040.0
372,1530,279,Tai heo sốt trứ danh San Fu Lou,95040.0
373,1530,279,Tai heo sốt trứ danh San Fu Lou,95040.0
374,1530,279,Tai heo sốt trứ danh San Fu Lou,95040.0
375,413,279,Bắp bò kiểu Quảng Đông,138240.0
376,413,279,Bắp bò kiểu Quảng Đông,138240.0
377,413,279,Bắp bò kiểu Quảng Đông,138240.0
378,413,279,Bắp bò kiểu Quảng Đông,138240.0
379,1299,279,Chả Giò Quảng Đông,95040.0
380,1299,279,Chả Giò Quảng Đông,95040.0
381,1299,279,Chả Giò Quảng Đông,95040.0
382,1299,279,Chả Giò Quảng Đông,95040.0
383,535,279,Vịt quay kiểu Hong Kong,246240.0
384,535,279,Vịt quay kiểu Hong Kong,246240.0
385,535,279,Vịt quay kiểu Hong Kong,246240.0
386,535,279,Vịt quay kiểu Hong Kong,246240.0
387,283,279,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
388,283,279,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
389,283,279,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
390,283,279,"Món quay tổng hợp San Fu Lou (gà quay, vịt quay, xá xíu)",343440.0
391,1531,279,Xá xíu San Fu Lou,181440.0
392,1531,279,Xá xíu San Fu Lou,181440.0
393,1531,279,Xá xíu San Fu Lou,181440.0
394,1531,279,Xá xíu San Fu Lou,181440.0
395,327,279,Ba rọi quay da giòn,203040.0
396,327,279,Ba rọi quay da giòn,203040.0
397,327,279,Ba rọi quay da giòn,203040.0
398,327,279,Ba rọi quay da giòn,203040.0
399,1381,279,Gà quay sả sốt mè,213840.0
400,1381,279,Gà quay sả sốt mè,213840.0
401,1381,279,Gà quay sả sốt mè,213840.0
402,1381,279,Gà quay sả sốt mè,213840.0
403,564,279,Chân gà hấp tàu xì,73440.0
404,564,279,Chân gà hấp tàu xì,73440.0
405,564,279,Chân gà hấp tàu xì,73440.0
406,564,279,Chân gà hấp tàu xì,73440.0
407,1340,660,Caesar salad - salad sốt kem phô mai thịt xông khói,95000.0
408,1592,660,Súp kem nấm,80000.0
409,605,660,Salad cá tầm sốt Fumo đặc biệt,109000.0
410,421,660,Chicken nuggets salad - salad gà giòn sốt kem tỏi,95000.0
411,1871,660,Apple salad - Salad Táo,95000.0
412,1188,660,Homemade Salted Salmon Salad - Salad cá hồi muối nhà làm,119000.0
413,1307,660,Classic Beef Burger - Burger Bò,125000.0
414,741,660,Mexican flavored burger - Burger kiểu Mexico,135000.0
415,779,660,Chicken Burger - Burger fillet gà giòn,125000.0
416,1042,660,Four Cheese Pizza - Pizza Bốn Loại Phô Mai Ý,99000.0
417,405,1043,Kaju Katli (250g),148500.0
418,1354,1043,Rasgulla (250g),88000.0
419,1353,1043,Kesar Peda (250g),203500.0
420,1642,1043,Besan Ladoo (250g),126500.0
421,1553,1043,Rasmalai (250g),148500.0
422,1566,1043,Besan Barfi (250g),132000.0
423,1137,1043,Balu Shahi (250g),203500.0
424,1742,1043,Chickpea sticks (100g),22000.0
425,698,1043,Chickpea sticks (200g),44000.0
426,132,1043,Veg Samosa,66000.0
427,1561,1163,Bánh mì thịt nướng,32000.0
428,462,1163,Bánh mì gà rim xé,29000.0
429,127,1163,Bánh mì thịt nướng + Nước sâm hạt é nha đam,52000.0
430,1272,1163,Bánh Mì Gà Rim Xé + Nước sâm hạt é nha đam,49000.0
431,73,1163,Bánh Mì Thịt nướng + 2 Nước sâm hạt é nha đam,72000.0
432,830,1163,Bánh Mì Gà Rim Xé + 2 Nước sâm hạt é nha đam,69000.0
433,793,1163,Nước sâm hạt é nha đam,20000.0
434,1848,531,Sốt San Fu Lou trứ danh,16200.0
435,1848,531,Sốt San Fu Lou trứ danh,16200.0
436,1848,531,Sốt San Fu Lou trứ danh,16200.0
437,1848,531,Sốt San Fu Lou trứ danh,16200.0
438,381,531,Sốt xanh chua cay,16200.0
439,381,531,Sốt xanh chua cay,16200.0
440,381,531,Sốt xanh chua cay,16200.0
441,381,531,Sốt xanh chua cay,16200.0
442,1428,531,Sốt tương đậu cay,16200.0
443,1428,531,Sốt tương đậu cay,16200.0
444,1428,531,Sốt tương đậu cay,16200.0
445,1428,531,Sốt tương đậu cay,16200.0
446,244,531,Bắp bò Mỹ,73440.0
447,244,531,Bắp bò Mỹ,73440.0
448,244,531,Bắp bò Mỹ,73440.0
449,244,531,Bắp bò Mỹ,73440.0
450,506,531,Ba chỉ bò Mỹ,105840.0
451,506,531,Ba chỉ bò Mỹ,105840.0
452,506,531,Ba chỉ bò Mỹ,105840.0
453,506,531,Ba chỉ bò Mỹ,105840.0
454,553,531,Thịt chóp vai bò Mỹ,105840.0
455,553,531,Thịt chóp vai bò Mỹ,105840.0
456,553,531,Thịt chóp vai bò Mỹ,105840.0
457,553,531,Thịt chóp vai bò Mỹ,105840.0
458,1064,531,Combo thượng hạng,213840.0
459,1064,531,Combo thượng hạng,213840.0
460,1064,531,Combo thượng hạng,213840.0
461,1064,531,Combo thượng hạng,213840.0
462,401,531,Gầu hoa bò Úc,105840.0
463,401,531,Gầu hoa bò Úc,105840.0
464,401,531,Gầu hoa bò Úc,105840.0
465,401,531,Gầu hoa bò Úc,105840.0
466,1133,531,Cổ bò Mỹ,170640.0
467,1133,531,Cổ bò Mỹ,170640.0
468,1133,531,Cổ bò Mỹ,170640.0
469,1133,531,Cổ bò Mỹ,170640.0
470,1192,531,Ba chỉ heo,95040.0
471,1192,531,Ba chỉ heo,95040.0
472,1192,531,Ba chỉ heo,95040.0
473,1192,531,Ba chỉ heo,95040.0
474,405,616,Kaju Katli (250g),148500.0
475,1353,616,Kesar Peda (250g),203500.0
476,1354,616,Rasgulla (250g),88000.0
477,1566,616,Besan Barfi (250g),132000.0
478,1642,616,Besan Ladoo (250g),126500.0
479,1137,616,Balu Shahi (250g),203500.0
480,132,616,Veg Samosa,66000.0
481,912,616,Papadam (fried),24200.0
482,1450,616,Masala Papad,44000.0
